date,macd,macdsignal,macdhist,mom,sma20,sma50,sma100,sma200,rsi,stddev,close,symbol,volatility,rsi_value
2014-12-22,0.0,0.0,0.0,1.3099999999999952,47.5,46.9,45.98,43.13,54.57,0.02285178936049488,47.98,MSFT,36.27609099642072,4
2014-12-23,0.0,0.0,0.0,3.2900000000000063,47.55,47.0,46.04,43.18,57.47,0.012765397473509797,48.45,MSFT,20.264440261079496,3
2014-12-24,0.0,0.0,0.0,2.3999999999999986,47.58,47.1,46.09,43.24,54.97,0.015263254262286013,48.14,MSFT,24.22966498533325,4
2014-12-26,0.0,0.0,0.0,0.35999999999999943,47.59,47.19,46.15,43.29,52.9,0.0064513639389340354,47.88,MSFT,10.241222759753727,4
2014-12-29,0.0,0.0,0.0,-0.20999999999999375,47.57,47.29,46.2,43.34,49.57,0.007591495880532081,47.45,MSFT,12.051126107315515,4
2014-12-30,0.0,0.0,0.0,-0.9599999999999937,47.49,47.37,46.24,43.39,46.42,0.007049406624304586,47.02,MSFT,11.190586091088761,4
2014-12-31,0.0,0.0,0.0,-2.0,47.39,47.42,46.28,43.43,42.56,0.0023509007268735604,46.45,MSFT,3.7319392081850533,5
2015-01-02,0.0,0.0,0.0,-1.3800000000000026,47.32,47.46,46.32,43.47,45.22,0.0065800742754735676,46.76,MSFT,10.445544084741947,4
2015-01-05,0.0,0.0,0.0,-1.5500000000000043,47.2,47.51,46.35,43.51,42.29,0.006710327563433728,46.33,MSFT,10.652314769176588,5
2015-01-06,0.0,0.0,0.0,-1.8000000000000043,47.06,47.53,46.37,43.54,38.08,0.007469127329727981,45.65,MSFT,11.856872055081704,5
2015-01-07,0.0,0.0,0.0,-0.7900000000000063,46.99,47.53,46.4,43.57,43.27,0.010933325036467984,46.23,MSFT,17.35611542971829,5
2015-01-08,0.0,0.0,0.0,1.1400000000000006,46.99,47.57,46.43,43.61,53.17,0.01579327906999708,47.59,MSFT,25.071053283272242,4
2015-01-09,0.0,0.0,0.0,0.4299999999999997,47.0,47.59,46.46,43.65,50.38,0.016601814989463587,47.19,MSFT,26.354564264655036,4
2015-01-12,0.0,0.0,0.0,0.2700000000000031,46.97,47.6,46.48,43.69,46.51,0.017092035292502097,46.6,MSFT,27.132764870339805,4
2015-01-13,0.0,0.0,0.0,0.7100000000000009,46.94,47.61,46.49,43.73,45.0,0.015676221187964308,46.36,MSFT,24.88522965635705,5
2015-01-14,0.0,0.0,0.0,-0.269999999999996,46.91,47.6,46.5,43.75,42.51,0.015413030354696074,45.96,MSFT,24.467427161049283,5
2015-01-15,0.0,0.0,0.0,-2.1100000000000065,46.92,47.56,46.51,43.78,39.68,0.0024356898133370626,45.48,MSFT,3.866537710189921,5
2015-01-16,0.0,0.0,0.0,-0.9499999999999957,46.95,47.54,46.52,43.81,45.83,0.010634769737616002,46.24,MSFT,16.882173585700542,4
2015-01-20,0.0,0.0,0.0,-0.21000000000000085,46.89,47.52,46.54,43.84,46.98,0.009961624529443729,46.39,MSFT,15.81358869546536,4
2015-01-21,0.0,0.0,0.0,-0.4399999999999977,46.8,47.47,46.55,43.87,43.84,0.010571909596985339,45.92,MSFT,16.782386206008173,5
2015-01-22,0.0,0.0,0.0,1.1700000000000017,46.76,47.45,46.58,43.91,52.62,0.014583699458486487,47.13,MSFT,23.15090517747755,4
2015-01-23,0.0,0.0,0.0,1.7000000000000028,46.7,47.42,46.6,43.95,52.95,0.012732607838299811,47.18,MSFT,20.212388328871807,4
2015-01-26,0.0,0.0,0.0,0.769999999999996,46.64,47.39,46.62,43.99,51.64,0.012364072386847995,47.01,MSFT,19.62735643656035,4
2015-01-27,0.0,0.0,0.0,-3.730000000000004,46.38,47.27,46.6,44.01,30.75,0.04032331043536108,42.66,MSFT,64.01127087049264,5
2015-01-28,-1.0,0.0,0.0,-4.730000000000004,46.07,47.11,46.56,44.02,26.8,0.04081392933844117,41.19,MSFT,64.79010423412697,6
2015-01-29,-1.0,-1.0,0.0,-5.1200000000000045,45.82,46.96,46.53,44.04,32.04,0.03938697014622169,42.01,MSFT,62.52487674193675,5
2015-01-30,-1.0,-1.0,-1.0,-6.780000000000001,45.51,46.79,46.47,44.05,27.83,0.03791302504345741,40.4,MSFT,60.185061429091256,6
2015-02-02,-1.0,-1.0,-1.0,-5.729999999999997,45.24,46.64,46.42,44.06,33.01,0.04250334654284019,41.28,MSFT,67.47197090421123,5
2015-02-03,-1.0,-1.0,-1.0,-1.0599999999999952,45.0,46.51,46.37,44.07,34.84,0.02637441493837118,41.6,MSFT,41.86808574105425,5
2015-02-04,-1.0,-1.0,0.0,0.6500000000000057,44.81,46.37,46.32,44.08,36.25,0.02179848501199155,41.84,MSFT,34.60402217981908,5
